管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,634.538
陕京二线,北京,通州南分输站,通州热电,489.599
陕京二线,北京,通州南分输站,通州工业园,354.594
陕京二线,北京,通州南分输站,通州医院,180.081
中俄东线,北京,宝坻站,北京燃气,541.576
中俄东线,北京,永清站,北京燃气,431.448
川气东送,湖南,湘潭分输站,湘潭钢铁,538.33
川气东送,湖南,湘潭分输站,湘潭城市燃气,419.155
川气东送,湖南,湘潭分输站,湘潭化工,300.922
川气东送,湖南,湘潭分输站,湘潭医院,121.161
陕京二线,山西,阳曲压气站,太原城市燃气,568.896
陕京二线,山西,阳曲压气站,山西电力,426.158
陕京二线,山西,阳曲压气站,山西代输-工业用户,261.548
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,704.696
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,617.865
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,402.882
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,641.823
陕京二线,河北,石家庄压气站,石家庄燃气,549.038
陕京二线,河北,石家庄压气站,河北化工,397.407
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,709.276
川气东送,上海,上海白鹤末站,上海电力,510.409
川气东送,上海,上海白鹤末站,白鹤工业园,325.628
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,456.545
西气东输一线,新疆,王家沟末站,王家沟工业,314.344
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,638.153
西气东输二线,甘肃,兰州分输站,兰州石化,447.776
西气东输三线,甘肃,武威分输站,甘肃工业集团,395.128
西气东输三线,甘肃,张掖分输站,河西城市燃气,272.717
川气东送,贵州,贵阳北站,贵州管网,447.631
川气东送,贵州,遵义站,贵州管网,379.32
川气东送,贵州,安顺站,贵州管网,305.63
川气东送,广西,南宁站,广西管网,467.896
川气东送,广西,柳州站,广西管网,348.717
川气东送,广西,桂林站,广西管网,265.632
川气东送,上海,甪直站,上海管网,496.001
中俄东线,上海,南通站,上海管网,344.85
中俄东线,江苏,南通站,江苏城市燃气,650.904
冀宁线,江苏,南京站,江苏电力,510.053
中俄东线,江苏,海安站,江苏化工,428.967
川气东送,江苏,甪直站,苏州工业园,402.178
中俄东线,江苏,如皋站,江苏交通能源,249.258
冀宁线,河北,安平站,河北城市燃气,428.885
西气东输一线,新疆,昌吉站,昌吉工业,346.295
西气东输一线,新疆,精河站,伊犁能源,296.38
