管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,588.377
陕京二线,北京,通州南分输站,通州热电,497.537
陕京二线,北京,通州南分输站,通州工业园,380.653
陕京二线,北京,通州南分输站,通州医院,180.062
中俄东线,北京,宝坻站,北京燃气,533.234
中俄东线,北京,永清站,北京燃气,398.845
川气东送,湖南,湘潭分输站,湘潭钢铁,518.357
川气东送,湖南,湘潭分输站,湘潭城市燃气,435.218
川气东送,湖南,湘潭分输站,湘潭化工,294.76
川气东送,湖南,湘潭分输站,湘潭医院,113.768
陕京二线,山西,阳曲压气站,太原城市燃气,532.165
陕京二线,山西,阳曲压气站,山西电力,439.215
陕京二线,山西,阳曲压气站,山西代输-工业用户,258.854
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,688.76
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,601.437
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,429.152
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,655.182
陕京二线,河北,石家庄压气站,石家庄燃气,586.707
陕京二线,河北,石家庄压气站,河北化工,384.435
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,722.261
川气东送,上海,上海白鹤末站,上海电力,520.664
川气东送,上海,上海白鹤末站,白鹤工业园,321.174
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,491.107
西气东输一线,新疆,王家沟末站,王家沟工业,314.226
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,630.7
西气东输二线,甘肃,兰州分输站,兰州石化,442.044
西气东输三线,甘肃,武威分输站,甘肃工业集团,382.469
西气东输三线,甘肃,张掖分输站,河西城市燃气,275.557
川气东送,贵州,贵阳北站,贵州管网,452.984
川气东送,贵州,遵义站,贵州管网,357.167
川气东送,贵州,安顺站,贵州管网,284.948
川气东送,广西,南宁站,广西管网,470.324
川气东送,广西,柳州站,广西管网,343.072
川气东送,广西,桂林站,广西管网,263.806
川气东送,上海,甪直站,上海管网,491.762
中俄东线,上海,南通站,上海管网,324.25
中俄东线,江苏,南通站,江苏城市燃气,644.407
冀宁线,江苏,南京站,江苏电力,545.204
中俄东线,江苏,海安站,江苏化工,428.67
川气东送,江苏,甪直站,苏州工业园,389.937
中俄东线,江苏,如皋站,江苏交通能源,260.042
冀宁线,河北,安平站,河北城市燃气,425.993
西气东输一线,新疆,昌吉站,昌吉工业,358.308
西气东输一线,新疆,精河站,伊犁能源,306.71
