管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,620.954
陕京二线,北京,通州南分输站,通州热电,469.663
陕京二线,北京,通州南分输站,通州工业园,380.121
陕京二线,北京,通州南分输站,通州医院,190.72
中俄东线,北京,宝坻站,北京燃气,570.175
中俄东线,北京,永清站,北京燃气,422.663
川气东送,湖南,湘潭分输站,湘潭钢铁,509.643
川气东送,湖南,湘潭分输站,湘潭城市燃气,436.24
川气东送,湖南,湘潭分输站,湘潭化工,296.907
川气东送,湖南,湘潭分输站,湘潭医院,126.979
陕京二线,山西,阳曲压气站,太原城市燃气,527.075
陕京二线,山西,阳曲压气站,山西电力,454.529
陕京二线,山西,阳曲压气站,山西代输-工业用户,247.674
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,664.67
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,597.531
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,411.705
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,713.185
陕京二线,河北,石家庄压气站,石家庄燃气,539.377
陕京二线,河北,石家庄压气站,河北化工,375.902
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,751.661
川气东送,上海,上海白鹤末站,上海电力,559.088
川气东送,上海,上海白鹤末站,白鹤工业园,322.844
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,478.481
西气东输一线,新疆,王家沟末站,王家沟工业,303.496
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,630.647
西气东输二线,甘肃,兰州分输站,兰州石化,492.897
西气东输三线,甘肃,武威分输站,甘肃工业集团,377.341
西气东输三线,甘肃,张掖分输站,河西城市燃气,270.16
川气东送,贵州,贵阳北站,贵州管网,410.443
川气东送,贵州,遵义站,贵州管网,354.094
川气东送,贵州,安顺站,贵州管网,283.226
川气东送,广西,南宁站,广西管网,452.621
川气东送,广西,柳州站,广西管网,342.262
川气东送,广西,桂林站,广西管网,292.866
川气东送,上海,甪直站,上海管网,505.475
中俄东线,上海,南通站,上海管网,314.12
中俄东线,江苏,南通站,江苏城市燃气,625.326
冀宁线,江苏,南京站,江苏电力,516.318
中俄东线,江苏,海安站,江苏化工,408.296
川气东送,江苏,甪直站,苏州工业园,385.632
中俄东线,江苏,如皋站,江苏交通能源,275.253
冀宁线,河北,安平站,河北城市燃气,464.614
西气东输一线,新疆,昌吉站,昌吉工业,345.713
西气东输一线,新疆,精河站,伊犁能源,300.654
