管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,642.545
陕京二线,北京,通州南分输站,通州热电,475.9
陕京二线,北京,通州南分输站,通州工业园,376.691
陕京二线,北京,通州南分输站,通州医院,173.238
中俄东线,北京,宝坻站,北京燃气,527.82
中俄东线,北京,永清站,北京燃气,414.794
川气东送,湖南,湘潭分输站,湘潭钢铁,497.219
川气东送,湖南,湘潭分输站,湘潭城市燃气,413.43
川气东送,湖南,湘潭分输站,湘潭化工,273.963
川气东送,湖南,湘潭分输站,湘潭医院,117.741
陕京二线,山西,阳曲压气站,太原城市燃气,533.275
陕京二线,山西,阳曲压气站,山西电力,420.884
陕京二线,山西,阳曲压气站,山西代输-工业用户,255.304
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,685.706
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,600.707
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,432.609
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,671.374
陕京二线,河北,石家庄压气站,石家庄燃气,555.695
陕京二线,河北,石家庄压气站,河北化工,410.709
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,724.565
川气东送,上海,上海白鹤末站,上海电力,560.89
川气东送,上海,上海白鹤末站,白鹤工业园,345.776
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,460.033
西气东输一线,新疆,王家沟末站,王家沟工业,301.9
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,602.685
西气东输二线,甘肃,兰州分输站,兰州石化,486.857
西气东输三线,甘肃,武威分输站,甘肃工业集团,385.239
西气东输三线,甘肃,张掖分输站,河西城市燃气,258.182
川气东送,贵州,贵阳北站,贵州管网,407.314
川气东送,贵州,遵义站,贵州管网,367.496
川气东送,贵州,安顺站,贵州管网,283.482
川气东送,广西,南宁站,广西管网,434.631
川气东送,广西,柳州站,广西管网,358.216
川气东送,广西,桂林站,广西管网,271.609
川气东送,上海,甪直站,上海管网,479.41
中俄东线,上海,南通站,上海管网,315.704
中俄东线,江苏,南通站,江苏城市燃气,619.82
冀宁线,江苏,南京站,江苏电力,531.788
中俄东线,江苏,海安站,江苏化工,449.544
川气东送,江苏,甪直站,苏州工业园,382.304
中俄东线,江苏,如皋站,江苏交通能源,272.215
冀宁线,河北,安平站,河北城市燃气,461.657
西气东输一线,新疆,昌吉站,昌吉工业,330.78
西气东输一线,新疆,精河站,伊犁能源,311.002
