管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,629.531
陕京二线,北京,通州南分输站,通州热电,490.806
陕京二线,北京,通州南分输站,通州工业园,378.316
陕京二线,北京,通州南分输站,通州医院,183.367
中俄东线,北京,宝坻站,北京燃气,561.412
中俄东线,北京,永清站,北京燃气,391.207
川气东送,湖南,湘潭分输站,湘潭钢铁,502.77
川气东送,湖南,湘潭分输站,湘潭城市燃气,405.864
川气东送,湖南,湘潭分输站,湘潭化工,306.331
川气东送,湖南,湘潭分输站,湘潭医院,119.709
陕京二线,山西,阳曲压气站,太原城市燃气,543.896
陕京二线,山西,阳曲压气站,山西电力,437.775
陕京二线,山西,阳曲压气站,山西代输-工业用户,261.392
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,733.805
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,570.564
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,430.474
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,669.441
陕京二线,河北,石家庄压气站,石家庄燃气,587.438
陕京二线,河北,石家庄压气站,河北化工,405.455
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,692.247
川气东送,上海,上海白鹤末站,上海电力,520.814
川气东送,上海,上海白鹤末站,白鹤工业园,357.223
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,504.417
西气东输一线,新疆,王家沟末站,王家沟工业,298.858
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,635.765
西气东输二线,甘肃,兰州分输站,兰州石化,462.258
西气东输三线,甘肃,武威分输站,甘肃工业集团,359.891
西气东输三线,甘肃,张掖分输站,河西城市燃气,259.202
川气东送,贵州,贵阳北站,贵州管网,451.275
川气东送,贵州,遵义站,贵州管网,375.917
川气东送,贵州,安顺站,贵州管网,297.85
川气东送,广西,南宁站,广西管网,468.278
川气东送,广西,柳州站,广西管网,369.043
川气东送,广西,桂林站,广西管网,276.955
川气东送,上海,甪直站,上海管网,451.598
中俄东线,上海,南通站,上海管网,340.055
中俄东线,江苏,南通站,江苏城市燃气,612.12
冀宁线,江苏,南京站,江苏电力,549.642
中俄东线,江苏,海安站,江苏化工,442.483
川气东送,江苏,甪直站,苏州工业园,392.447
中俄东线,江苏,如皋站,江苏交通能源,265.796
冀宁线,河北,安平站,河北城市燃气,448.898
西气东输一线,新疆,昌吉站,昌吉工业,365.473
西气东输一线,新疆,精河站,伊犁能源,316.401
