管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,724.535
陕京二线,北京,通州南分输站,通州热电,557.924
陕京二线,北京,通州南分输站,通州工业园,402.811
陕京二线,北京,通州南分输站,通州医院,189.571
中俄东线,北京,宝坻站,北京燃气,572.842
中俄东线,北京,永清站,北京燃气,433.809
川气东送,湖南,湘潭分输站,湘潭钢铁,563.302
川气东送,湖南,湘潭分输站,湘潭城市燃气,494.681
川气东送,湖南,湘潭分输站,湘潭化工,334.778
川气东送,湖南,湘潭分输站,湘潭医院,141.974
陕京二线,山西,阳曲压气站,太原城市燃气,624.491
陕京二线,山西,阳曲压气站,山西电力,456.749
陕京二线,山西,阳曲压气站,山西代输-工业用户,284.668
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,775.864
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,673.413
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,481.497
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,764.168
陕京二线,河北,石家庄压气站,石家庄燃气,610.864
陕京二线,河北,石家庄压气站,河北化工,425.099
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,823.389
川气东送,上海,上海白鹤末站,上海电力,601.299
川气东送,上海,上海白鹤末站,白鹤工业园,389.972
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,561.328
西气东输一线,新疆,王家沟末站,王家沟工业,339.51
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,713.686
西气东输二线,甘肃,兰州分输站,兰州石化,543.335
西气东输三线,甘肃,武威分输站,甘肃工业集团,436.184
西气东输三线,甘肃,张掖分输站,河西城市燃气,291.611
川气东送,贵州,贵阳北站,贵州管网,477.215
川气东送,贵州,遵义站,贵州管网,380.459
川气东送,贵州,安顺站,贵州管网,318.459
川气东送,广西,南宁站,广西管网,479.767
川气东送,广西,柳州站,广西管网,400.363
川气东送,广西,桂林站,广西管网,305.034
川气东送,上海,甪直站,上海管网,552.091
中俄东线,上海,南通站,上海管网,391.135
中俄东线,江苏,南通站,江苏城市燃气,714.48
冀宁线,江苏,南京站,江苏电力,595.154
中俄东线,江苏,海安站,江苏化工,509.144
川气东送,江苏,甪直站,苏州工业园,421.984
中俄东线,江苏,如皋站,江苏交通能源,282.513
冀宁线,河北,安平站,河北城市燃气,488.957
西气东输一线,新疆,昌吉站,昌吉工业,379.159
西气东输一线,新疆,精河站,伊犁能源,319.806
