管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,588.431
陕京二线,北京,通州南分输站,通州热电,473.742
陕京二线,北京,通州南分输站,通州工业园,359.279
陕京二线,北京,通州南分输站,通州医院,176.219
中俄东线,北京,宝坻站,北京燃气,562.608
中俄东线,北京,永清站,北京燃气,388.905
川气东送,湖南,湘潭分输站,湘潭钢铁,486.125
川气东送,湖南,湘潭分输站,湘潭城市燃气,410.196
川气东送,湖南,湘潭分输站,湘潭化工,274.969
川气东送,湖南,湘潭分输站,湘潭医院,122.322
陕京二线,山西,阳曲压气站,太原城市燃气,529.847
陕京二线,山西,阳曲压气站,山西电力,454.086
陕京二线,山西,阳曲压气站,山西代输-工业用户,247.9
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,688.327
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,570.536
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,423.962
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,655.393
陕京二线,河北,石家庄压气站,石家庄燃气,567.783
陕京二线,河北,石家庄压气站,河北化工,370.548
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,713.059
川气东送,上海,上海白鹤末站,上海电力,534.599
川气东送,上海,上海白鹤末站,白鹤工业园,345.486
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,477.078
西气东输一线,新疆,王家沟末站,王家沟工业,300.662
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,593.652
西气东输二线,甘肃,兰州分输站,兰州石化,497.141
西气东输三线,甘肃,武威分输站,甘肃工业集团,393.234
西气东输三线,甘肃,张掖分输站,河西城市燃气,267.63
川气东送,贵州,贵阳北站,贵州管网,415.849
川气东送,贵州,遵义站,贵州管网,372.377
川气东送,贵州,安顺站,贵州管网,280.432
川气东送,广西,南宁站,广西管网,429.629
川气东送,广西,柳州站,广西管网,355.101
川气东送,广西,桂林站,广西管网,283.754
川气东送,上海,甪直站,上海管网,508.314
中俄东线,上海,南通站,上海管网,341.989
中俄东线,江苏,南通站,江苏城市燃气,665.99
冀宁线,江苏,南京站,江苏电力,549.84
中俄东线,江苏,海安站,江苏化工,427.34
川气东送,江苏,甪直站,苏州工业园,378.825
中俄东线,江苏,如皋站,江苏交通能源,265.55
冀宁线,河北,安平站,河北城市燃气,456.637
西气东输一线,新疆,昌吉站,昌吉工业,345.677
西气东输一线,新疆,精河站,伊犁能源,294.813
