管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,665.514
陕京二线,北京,通州南分输站,通州热电,519.43
陕京二线,北京,通州南分输站,通州工业园,415.376
陕京二线,北京,通州南分输站,通州医院,195.519
中俄东线,北京,宝坻站,北京燃气,611.601
中俄东线,北京,永清站,北京燃气,463.5
川气东送,湖南,湘潭分输站,湘潭钢铁,542.147
川气东送,湖南,湘潭分输站,湘潭城市燃气,494.902
川气东送,湖南,湘潭分输站,湘潭化工,307.21
川气东送,湖南,湘潭分输站,湘潭医院,128.018
陕京二线,山西,阳曲压气站,太原城市燃气,597.388
陕京二线,山西,阳曲压气站,山西电力,460.438
陕京二线,山西,阳曲压气站,山西代输-工业用户,273.867
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,818.045
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,675.285
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,435.952
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,799.505
陕京二线,河北,石家庄压气站,石家庄燃气,636.712
陕京二线,河北,石家庄压气站,河北化工,452.707
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,790.275
川气东送,上海,上海白鹤末站,上海电力,591.571
川气东送,上海,上海白鹤末站,白鹤工业园,392.042
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,541.957
西气东输一线,新疆,王家沟末站,王家沟工业,338.877
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,696.785
西气东输二线,甘肃,兰州分输站,兰州石化,506.048
西气东输三线,甘肃,武威分输站,甘肃工业集团,444.286
西气东输三线,甘肃,张掖分输站,河西城市燃气,280.635
川气东送,贵州,贵阳北站,贵州管网,503.485
川气东送,贵州,遵义站,贵州管网,424.667
川气东送,贵州,安顺站,贵州管网,317.408
川气东送,广西,南宁站,广西管网,482.245
川气东送,广西,柳州站,广西管网,386.943
川气东送,广西,桂林站,广西管网,326.884
川气东送,上海,甪直站,上海管网,553.181
中俄东线,上海,南通站,上海管网,374.264
中俄东线,江苏,南通站,江苏城市燃气,717.041
冀宁线,江苏,南京站,江苏电力,617.78
中俄东线,江苏,海安站,江苏化工,459.965
川气东送,江苏,甪直站,苏州工业园,450.155
中俄东线,江苏,如皋站,江苏交通能源,297.879
冀宁线,河北,安平站,河北城市燃气,510.639
西气东输一线,新疆,昌吉站,昌吉工业,369.267
西气东输一线,新疆,精河站,伊犁能源,345.861
