管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,610.107
陕京二线,北京,通州南分输站,通州热电,504.124
陕京二线,北京,通州南分输站,通州工业园,350.371
陕京二线,北京,通州南分输站,通州医院,190.243
中俄东线,北京,宝坻站,北京燃气,555.86
中俄东线,北京,永清站,北京燃气,396.037
川气东送,湖南,湘潭分输站,湘潭钢铁,494.537
川气东送,湖南,湘潭分输站,湘潭城市燃气,409.369
川气东送,湖南,湘潭分输站,湘潭化工,275.453
川气东送,湖南,湘潭分输站,湘潭医院,123.663
陕京二线,山西,阳曲压气站,太原城市燃气,554.912
陕京二线,山西,阳曲压气站,山西电力,450.523
陕京二线,山西,阳曲压气站,山西代输-工业用户,244.596
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,737.17
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,574.955
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,417.156
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,646.637
陕京二线,河北,石家庄压气站,石家庄燃气,552.423
陕京二线,河北,石家庄压气站,河北化工,389.281
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,749.002
川气东送,上海,上海白鹤末站,上海电力,506.267
川气东送,上海,上海白鹤末站,白鹤工业园,353.963
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,497.02
西气东输一线,新疆,王家沟末站,王家沟工业,293.829
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,577.519
西气东输二线,甘肃,兰州分输站,兰州石化,461.262
西气东输三线,甘肃,武威分输站,甘肃工业集团,393.287
西气东输三线,甘肃,张掖分输站,河西城市燃气,245.499
川气东送,贵州,贵阳北站,贵州管网,433.407
川气东送,贵州,遵义站,贵州管网,342.66
川气东送,贵州,安顺站,贵州管网,287.646
川气东送,广西,南宁站,广西管网,471.405
川气东送,广西,柳州站,广西管网,345.74
川气东送,广西,桂林站,广西管网,294.316
川气东送,上海,甪直站,上海管网,454.206
中俄东线,上海,南通站,上海管网,311.637
中俄东线,江苏,南通站,江苏城市燃气,612.385
冀宁线,江苏,南京站,江苏电力,549.765
中俄东线,江苏,海安站,江苏化工,421.002
川气东送,江苏,甪直站,苏州工业园,390.644
中俄东线,江苏,如皋站,江苏交通能源,253.52
冀宁线,河北,安平站,河北城市燃气,443.841
西气东输一线,新疆,昌吉站,昌吉工业,363.861
西气东输一线,新疆,精河站,伊犁能源,309.314
