管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,637.531
陕京二线,北京,通州南分输站,通州热电,472.103
陕京二线,北京,通州南分输站,通州工业园,343.151
陕京二线,北京,通州南分输站,通州医院,188.317
中俄东线,北京,宝坻站,北京燃气,539.92
中俄东线,北京,永清站,北京燃气,385.881
川气东送,湖南,湘潭分输站,湘潭钢铁,538.814
川气东送,湖南,湘潭分输站,湘潭城市燃气,423.609
川气东送,湖南,湘潭分输站,湘潭化工,291.679
川气东送,湖南,湘潭分输站,湘潭医院,117.784
陕京二线,山西,阳曲压气站,太原城市燃气,570.063
陕京二线,山西,阳曲压气站,山西电力,410.172
陕京二线,山西,阳曲压气站,山西代输-工业用户,272.0
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,690.604
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,625.304
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,433.861
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,702.718
陕京二线,河北,石家庄压气站,石家庄燃气,556.412
陕京二线,河北,石家庄压气站,河北化工,398.948
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,699.348
川气东送,上海,上海白鹤末站,上海电力,509.628
川气东送,上海,上海白鹤末站,白鹤工业园,339.103
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,491.591
西气东输一线,新疆,王家沟末站,王家沟工业,324.221
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,636.357
西气东输二线,甘肃,兰州分输站,兰州石化,450.337
西气东输三线,甘肃,武威分输站,甘肃工业集团,398.33
西气东输三线,甘肃,张掖分输站,河西城市燃气,253.71
川气东送,贵州,贵阳北站,贵州管网,429.166
川气东送,贵州,遵义站,贵州管网,375.017
川气东送,贵州,安顺站,贵州管网,289.799
川气东送,广西,南宁站,广西管网,474.325
川气东送,广西,柳州站,广西管网,367.277
川气东送,广西,桂林站,广西管网,288.138
川气东送,上海,甪直站,上海管网,502.522
中俄东线,上海,南通站,上海管网,331.883
中俄东线,江苏,南通站,江苏城市燃气,631.309
冀宁线,江苏,南京站,江苏电力,525.197
中俄东线,江苏,海安站,江苏化工,409.596
川气东送,江苏,甪直站,苏州工业园,400.569
中俄东线,江苏,如皋站,江苏交通能源,246.181
冀宁线,河北,安平站,河北城市燃气,432.742
西气东输一线,新疆,昌吉站,昌吉工业,346.34
西气东输一线,新疆,精河站,伊犁能源,292.292
