管线,所属地,供气点,用户,消耗量
陕京二线,北京,通州南分输站,北京城市燃气,597.945
陕京二线,北京,通州南分输站,通州热电,496.815
陕京二线,北京,通州南分输站,通州工业园,379.344
陕京二线,北京,通州南分输站,通州医院,175.356
中俄东线,北京,宝坻站,北京燃气,537.218
中俄东线,北京,永清站,北京燃气,389.598
川气东送,湖南,湘潭分输站,湘潭钢铁,535.982
川气东送,湖南,湘潭分输站,湘潭城市燃气,404.208
川气东送,湖南,湘潭分输站,湘潭化工,279.608
川气东送,湖南,湘潭分输站,湘潭医院,124.04
陕京二线,山西,阳曲压气站,太原城市燃气,590.375
陕京二线,山西,阳曲压气站,山西电力,418.126
陕京二线,山西,阳曲压气站,山西代输-工业用户,254.743
陕京二线,山西,阳曲压气站,阳曲停用表位,0.0
西气东输二线,新疆,乌鲁木齐压气站,新疆广汇,681.567
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐燃气,609.507
西气东输二线,新疆,乌鲁木齐压气站,新疆化工,420.214
西气东输二线,新疆,乌鲁木齐压气站,乌鲁木齐零值表位,0.0
陕京二线,河北,石家庄压气站,河北钢铁,720.368
陕京二线,河北,石家庄压气站,石家庄燃气,575.105
陕京二线,河北,石家庄压气站,河北化工,392.459
陕京二线,河北,石家庄压气站,石家庄停用表位,0.0
川气东送,上海,上海白鹤末站,上海管网,746.23
川气东送,上海,上海白鹤末站,上海电力,498.652
川气东送,上海,上海白鹤末站,白鹤工业园,338.269
川气东送,上海,上海白鹤末站,白鹤零值表位,0.0
西气东输一线,新疆,王家沟末站,新疆生产建设兵团,465.945
西气东输一线,新疆,王家沟末站,王家沟工业,292.887
西气东输一线,新疆,王家沟末站,王家沟零值表位,0.0
西气东输二线,甘肃,兰州分输站,甘肃城市燃气,599.47
西气东输二线,甘肃,兰州分输站,兰州石化,472.683
西气东输三线,甘肃,武威分输站,甘肃工业集团,362.62
西气东输三线,甘肃,张掖分输站,河西城市燃气,254.807
川气东送,贵州,贵阳北站,贵州管网,440.963
川气东送,贵州,遵义站,贵州管网,362.218
川气东送,贵州,安顺站,贵州管网,282.826
川气东送,广西,南宁站,广西管网,438.461
川气东送,广西,柳州站,广西管网,343.121
川气东送,广西,桂林站,广西管网,269.333
川气东送,上海,甪直站,上海管网,464.64
中俄东线,上海,南通站,上海管网,337.179
中俄东线,江苏,南通站,江苏城市燃气,649.577
冀宁线,江苏,南京站,江苏电力,571.874
中俄东线,江苏,海安站,江苏化工,439.34
川气东送,江苏,甪直站,苏州工业园,390.835
中俄东线,江苏,如皋站,江苏交通能源,271.036
冀宁线,河北,安平站,河北城市燃气,435.864
西气东输一线,新疆,昌吉站,昌吉工业,370.959
西气东输一线,新疆,精河站,伊犁能源,295.496
