TIME,N_001_v000,N_002_v000,N_003_v000
2025-01-01 00:01:00,1.003619,1.006128,0.9946332
2025-01-01 00:02:00,1.003632,1.0061411,0.994646
2025-01-01 00:03:00,1.003645,1.0061542,0.99465877
2025-01-01 00:04:00,1.003658,1.0061673,0.9946716
2025-01-01 00:05:00,1.003671,1.0061804,0.99468434
2025-01-01 00:06:00,1.003684,1.0061934,0.99469715
2025-01-01 00:07:00,1.0036972,1.0062065,0.99470985
2025-01-01 00:08:00,1.0037102,1.0062196,0.9947226
2025-01-01 00:09:00,1.0037233,1.0062326,0.9947353
2025-01-01 00:10:00,1.0037363,1.0062457,0.994748
2025-01-01 00:11:00,1.0037494,1.0062588,0.9947607
2025-01-01 00:12:00,1.0037624,1.0062718,0.9947734
2025-01-01 00:13:00,1.0037755,1.0062848,0.994786
2025-01-01 00:14:00,1.0037885,1.006298,0.99479866
2025-01-01 00:15:00,1.0038016,1.0063109,0.9948113
2025-01-01 00:16:00,1.0038147,1.006324,0.99482393
2025-01-01 00:17:00,1.0038278,1.006337,0.9948365
2025-01-01 00:18:00,1.0038408,1.00635,0.9948491
2025-01-01 00:19:00,1.0038539,1.0063632,0.99486166
2025-01-01 00:20:00,1.003867,1.0063761,0.9948742
2025-01-01 00:21:00,1.0038801,1.0063891,0.9948867
2025-01-01 00:22:00,1.0038933,1.0064021,0.9948992
2025-01-01 00:23:00,1.0039064,1.0064151,0.99491173
2025-01-01 00:24:00,1.0039195,1.006428,0.9949242
2025-01-01 00:25:00,1.0039326,1.006441,0.9949367
2025-01-01 00:26:00,1.0039457,1.006454,0.9949491
2025-01-01 00:27:00,1.0039587,1.006467,0.99496156
2025-01-01 00:28:00,1.0039718,1.0064799,0.99497396
2025-01-01 00:29:00,1.0039849,1.0064929,0.99498636
2025-01-01 00:30:00,1.0074075,1.0099117,0.9966027
2025-01-01 00:31:00,1.0101483,1.0126492,0.9978982
2025-01-01 00:32:00,1.0123434,1.0148419,0.99893713
2025-01-01 00:33:00,1.0141022,1.0165986,0.9997707
2025-01-01 00:34:00,1.0155119,1.0180066,1.00044
2025-01-01 00:35:00,1.0166422,1.0191355,1.0009779
2025-01-01 00:36:00,1.017549,1.0200412,1.0014106
2025-01-01 00:37:00,1.0182772,1.0207684,1.0017592
2025-01-01 00:38:00,1.0188622,1.0213525,1.0020405
2025-01-01 00:39:00,1.019333,1.0218226,1.002268
2025-01-01 00:40:00,1.0197122,1.0222012,1.0024524
2025-01-01 00:41:00,1.0200181,1.0225065,1.0026023
2025-01-01 00:42:00,1.0202655,1.0227532,1.0027248
2025-01-01 00:43:00,1.020466,1.0229534,1.002825
2025-01-01 00:44:00,1.020629,1.0231159,1.0029078
2025-01-01 00:45:00,1.0207621,1.0232484,1.0029762
2025-01-01 00:46:00,1.020871,1.023357,1.0030334
2025-01-01 00:47:00,1.0209609,1.0234463,1.0030816
2025-01-01 00:48:00,1.0210354,1.0235205,1.0031223
2025-01-01 00:49:00,1.0210975,1.0235823,1.0031575
2025-01-01 00:50:00,1.02115,1.0236342,1.0031879
2025-01-01 00:51:00,1.0211945,1.0236783,1.0032146
2025-01-01 00:52:00,1.0212327,1.0237161,1.0032383
2025-01-01 00:53:00,1.0212659,1.0237489,1.0032595
2025-01-01 00:54:00,1.0212951,1.0237776,1.003279
2025-01-01 00:55:00,1.0213209,1.0238031,1.003297
2025-01-01 00:56:00,1.0213443,1.023826,1.0033137
2025-01-01 00:57:00,1.0213655,1.0238467,1.0033292
2025-01-01 00:58:00,1.0213852,1.0238659,1.003344
2025-01-01 00:59:00,1.0214034,1.0238837,1.0033582
2025-01-01 01:00:00,1.0191115,1.0209526,1.0010806
2025-01-01 01:01:00,1.0172806,1.0186101,0.9992607
2025-01-01 01:02:00,1.0158185,1.0167387,0.9978071
2025-01-01 01:03:00,1.0146514,1.015244,0.9966465
2025-01-01 01:04:00,1.0137202,1.0140507,0.9957203
2025-01-01 01:05:00,1.0129778,1.0130985,0.99498177
2025-01-01 01:06:00,1.0123867,1.0123394,0.9943931
2025-01-01 01:07:00,1.0119162,1.0117344,0.9939245
2025-01-01 01:08:00,1.0115424,1.0112529,0.9935519
2025-01-01 01:09:00,1.011246,1.0108701,0.9932561
2025-01-01 01:10:00,1.0110115,1.0105665,0.9930217
2025-01-01 01:11:00,1.0108263,1.0103259,0.9928364
2025-01-01 01:12:00,1.0106808,1.010136,0.99269044
2025-01-01 01:13:00,1.010567,1.0099864,0.9925759
2025-01-01 01:14:00,1.0104785,1.0098692,0.99248654
2025-01-01 01:15:00,1.0104103,1.0097778,0.9924173
2025-01-01 01:16:00,1.0103583,1.0097072,0.9923641
2025-01-01 01:17:00,1.0103194,1.0096531,0.9923238
2025-01-01 01:18:00,1.0102906,1.0096123,0.9922937
2025-01-01 01:19:00,1.0102702,1.009582,0.9922719
2025-01-01 01:20:00,1.0102564,1.0095602,0.99225664
2025-01-01 01:21:00,1.010248,1.0095451,0.9922466
2025-01-01 01:22:00,1.0102438,1.0095356,0.99224085
2025-01-01 01:23:00,1.0102429,1.0095302,0.99223834
2025-01-01 01:24:00,1.0102448,1.0095284,0.9922386
2025-01-01 01:25:00,1.0102488,1.0095294,0.9922409
2025-01-01 01:26:00,1.0102545,1.0095325,0.99224496
2025-01-01 01:27:00,1.0102617,1.0095373,0.9922503
2025-01-01 01:28:00,1.0102699,1.0095435,0.99225676
2025-01-01 01:29:00,1.010279,1.0095509,0.9922641
2025-01-01 01:30:00,1.0074183,1.0059316,0.98944575
2025-01-01 01:31:00,1.0051321,1.0030385,0.9871932
2025-01-01 01:32:00,1.0033057,1.0007263,0.98539335
2025-01-01 01:33:00,1.0018471,0.9988791,0.98395556
2025-01-01 01:34:00,1.0006828,0.9974035,0.9828074
2025-01-01 01:35:00,0.99975383,0.9962254,0.981891
2025-01-01 01:36:00,0.9990131,0.9952852,0.9811599
2025-01-01 01:37:00,0.9984231,0.9945355,0.98057723
2025-01-01 01:38:00,0.99795353,0.99393797,0.98011315
2025-01-01 01:39:00,0.99758047,0.99346226,0.97974396
2025-01-01 01:40:00,0.9972845,0.993084,0.97945064
2025-01-01 01:41:00,0.9970501,0.9927837,0.97921807
2025-01-01 01:42:00,0.9968651,0.9925458,0.97903407
2025-01-01 01:43:00,0.99671966,0.9923578,0.9788889
2025-01-01 01:44:00,0.9966057,0.9922097,0.97877485
2025-01-01 01:45:00,0.99651706,0.9920934,0.9786856
2025-01-01 01:46:00,0.9964486,0.99200267,0.97861624
2025-01-01 01:47:00,0.99639624,0.9919324,0.9785628
2025-01-01 01:48:00,0.9963568,0.99187845,0.978522
2025-01-01 01:49:00,0.9963277,0.99183756,0.9784914
2025-01-01 01:50:00,0.9963069,0.9918071,0.97846895
2025-01-01 01:51:00,0.9962927,0.991785,0.978453
2025-01-01 01:52:00,0.99628377,0.9917695,0.97844213
2025-01-01 01:53:00,0.9962791,0.99175936,0.9784355
2025-01-01 01:54:00,0.99627775,0.99175346,0.9784321
2025-01-01 01:55:00,0.9962791,0.991751,0.9784314
2025-01-01 01:56:00,0.99628264,0.99175125,0.9784328
2025-01-01 01:57:00,0.9962879,0.9917537,0.97843575
2025-01-01 01:58:00,0.9962945,0.9917578,0.9784401
2025-01-01 01:59:00,0.9963022,0.99176335,0.9784456
