管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5343.666,-5343.666
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,546.225
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,433.225
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,521.385
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,407.93
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,424.68
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,496.383
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,562.197
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1496.385,-1496.385
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,130.467
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,103.86
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5253.516,-5253.516
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,517.77
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,414.965
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,524.387
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,400.658
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,414.596
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,459.578
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,534.323
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,421.271
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,301.725
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,498.89
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,429.261
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1837.511,-1837.511
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1528.986,-1528.986
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,116.821
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,110.389
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,323.341
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5292.549,-5292.549
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,547.815
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,404.04
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,521.815
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,440.683
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,434.676
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,492.67
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,562.066
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,457.451
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,307.379
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,486.482
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,420.897
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,134.827
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2632.23,-2632.23
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,224.537
中俄东线,长春站,111.462,33.648,需求,定需求,,201.995
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,597.903
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,605.355
中俄东线,永清站,87.5129,33.5107,联络,平衡,,134.801
中俄东线,南通站,116.3639,44.8043,联络,平衡,,118.189
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,533.415
中俄东线,海安站,121.3887,25.8904,需求,定需求,,480.482
中俄东线,上海站,110.3595,30.5042,需求,定需求,,431.971
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1455.632,-1455.632
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,93.659
冀宁线,安平站,123.4418,23.1806,联络,平衡,,147.775
冀宁线,南京站,123.0787,32.2038,需求,定需求,,444.345
冀宁线,南通站,116.3639,44.8043,联络,平衡,,123.78
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,529.696
冀宁线,海安站,121.3887,25.8904,需求,定需求,,479.306
川气东送,普光首站,76.2304,44.7768,气源,定流量,2242.241,-2242.241
川气东送,达州站,115.939,36.7411,需求,定需求,,317.272
川气东送,武汉站,118.2621,36.999,需求,定需求,,492.377
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,478.887
川气东送,甪直站,120.4511,32.3072,联络,平衡,,143.124
川气东送,上海站,110.3595,30.5042,需求,定需求,,397.54
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,594.092
陕京二线,榆林站,82.8513,42.114,气源,定流量,1882.999,-1882.999
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1483.439,-1483.439
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,137.979
陕京二线,永清站,87.5129,33.5107,联络,平衡,,136.722
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,650.468
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,340.825
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,385.759
