管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5404.257,-5404.257
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,539.784
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,443.36
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,556.601
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,439.281
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,433.004
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,503.768
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,553.877
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1492.165,-1492.165
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,101.709
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,107.852
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5271.03,-5271.03
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,505.969
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,404.933
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,560.726
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,442.087
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,423.14
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,459.553
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,562.016
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,454.309
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,313.585
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,468.794
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,426.794
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1944.0,-1944.0
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1506.343,-1506.343
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,134.077
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,146.29
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,331.159
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5334.55,-5334.55
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,535.614
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,439.472
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,554.653
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,425.034
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,414.462
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,499.225
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,542.008
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,447.698
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,314.96
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,498.419
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,410.343
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,93.709
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2613.413,-2613.413
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,221.284
中俄东线,长春站,111.462,33.648,需求,定需求,,186.698
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,620.568
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,622.226
中俄东线,永清站,87.5129,33.5107,联络,平衡,,125.717
中俄东线,南通站,116.3639,44.8043,联络,平衡,,137.159
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,547.198
中俄东线,海安站,121.3887,25.8904,需求,定需求,,507.4
中俄东线,上海站,110.3595,30.5042,需求,定需求,,436.891
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1552.581,-1552.581
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,127.638
冀宁线,安平站,123.4418,23.1806,联络,平衡,,122.574
冀宁线,南京站,123.0787,32.2038,需求,定需求,,441.435
冀宁线,南通站,116.3639,44.8043,联络,平衡,,143.416
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,559.414
冀宁线,海安站,121.3887,25.8904,需求,定需求,,500.228
川气东送,普光首站,76.2304,44.7768,气源,定流量,2330.192,-2330.192
川气东送,达州站,115.939,36.7411,需求,定需求,,336.689
川气东送,武汉站,118.2621,36.999,需求,定需求,,467.478
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,452.285
川气东送,甪直站,120.4511,32.3072,联络,平衡,,141.941
川气东送,上海站,110.3595,30.5042,需求,定需求,,415.737
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,617.202
陕京二线,榆林站,82.8513,42.114,气源,定流量,1854.19,-1854.19
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1498.163,-1498.163
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,139.567
陕京二线,永清站,87.5129,33.5107,联络,平衡,,95.652
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,625.364
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,315.614
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,383.053
