管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5033.021,-5033.021
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,543.733
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,413.682
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,525.301
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,427.247
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,400.195
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,455.619
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,562.051
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1505.819,-1505.819
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,114.579
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,110.566
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5316.131,-5316.131
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,504.087
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,401.486
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,556.621
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,421.786
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,400.699
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,469.05
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,534.408
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,441.881
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,297.828
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,519.157
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,403.851
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1891.614,-1891.614
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1506.695,-1506.695
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,108.884
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,139.036
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,307.855
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5014.122,-5014.122
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,495.097
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,433.612
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,546.883
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,419.389
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,414.154
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,472.92
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,571.019
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,452.181
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,309.511
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,471.525
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,431.107
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,144.014
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2497.02,-2497.02
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,235.535
中俄东线,长春站,111.462,33.648,需求,定需求,,194.949
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,605.052
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,627.84
中俄东线,永清站,87.5129,33.5107,联络,平衡,,104.922
中俄东线,南通站,116.3639,44.8043,联络,平衡,,91.741
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,535.93
中俄东线,海安站,121.3887,25.8904,需求,定需求,,523.039
中俄东线,上海站,110.3595,30.5042,需求,定需求,,408.849
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1504.518,-1504.518
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,97.828
冀宁线,安平站,123.4418,23.1806,联络,平衡,,136.818
冀宁线,南京站,123.0787,32.2038,需求,定需求,,459.685
冀宁线,南通站,116.3639,44.8043,联络,平衡,,147.245
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,552.205
冀宁线,海安站,121.3887,25.8904,需求,定需求,,498.193
川气东送,普光首站,76.2304,44.7768,气源,定流量,2359.649,-2359.649
川气东送,达州站,115.939,36.7411,需求,定需求,,327.592
川气东送,武汉站,118.2621,36.999,需求,定需求,,487.639
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,487.826
川气东送,甪直站,120.4511,32.3072,联络,平衡,,135.89
川气东送,上海站,110.3595,30.5042,需求,定需求,,399.623
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,640.127
陕京二线,榆林站,82.8513,42.114,气源,定流量,1920.39,-1920.39
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1483.475,-1483.475
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,122.637
陕京二线,永清站,87.5129,33.5107,联络,平衡,,138.883
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,630.886
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,337.901
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,356.953
