管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5404.97,-5404.97
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,526.511
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,421.717
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,542.329
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,406.49
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,402.495
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,458.329
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,562.677
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1558.333,-1558.333
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,105.142
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,111.083
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5301.829,-5301.829
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,505.167
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,415.854
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,559.708
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,410.662
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,411.369
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,492.972
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,541.764
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,458.189
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,320.63
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,484.717
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,394.729
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1920.884,-1920.884
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1490.987,-1490.987
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,99.254
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,94.143
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,340.278
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5167.03,-5167.03
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,540.704
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,429.813
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,535.459
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,438.306
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,436.073
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,455.721
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,550.166
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,421.352
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,303.646
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,466.313
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,433.779
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,116.899
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2564.237,-2564.237
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,228.791
中俄东线,长春站,111.462,33.648,需求,定需求,,193.408
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,565.874
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,651.733
中俄东线,永清站,87.5129,33.5107,联络,平衡,,116.608
中俄东线,南通站,116.3639,44.8043,联络,平衡,,129.675
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,513.901
中俄东线,海安站,121.3887,25.8904,需求,定需求,,526.273
中俄东线,上海站,110.3595,30.5042,需求,定需求,,396.683
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1451.95,-1451.95
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,141.205
冀宁线,安平站,123.4418,23.1806,联络,平衡,,95.846
冀宁线,南京站,123.0787,32.2038,需求,定需求,,431.545
冀宁线,南通站,116.3639,44.8043,联络,平衡,,146.28
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,574.879
冀宁线,海安站,121.3887,25.8904,需求,定需求,,520.848
川气东送,普光首站,76.2304,44.7768,气源,定流量,2311.095,-2311.095
川气东送,达州站,115.939,36.7411,需求,定需求,,307.703
川气东送,武汉站,118.2621,36.999,需求,定需求,,470.864
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,460.739
川气东送,甪直站,120.4511,32.3072,联络,平衡,,139.187
川气东送,上海站,110.3595,30.5042,需求,定需求,,427.48
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,648.459
陕京二线,榆林站,82.8513,42.114,气源,定流量,1928.983,-1928.983
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1556.645,-1556.645
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,123.269
陕京二线,永清站,87.5129,33.5107,联络,平衡,,142.265
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,594.748
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,339.954
