管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5118.381,-5118.381
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,491.517
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,437.969
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,525.657
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,434.922
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,426.399
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,460.312
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,536.692
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1471.538,-1471.538
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,139.058
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,106.659
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5084.391,-5084.391
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,523.946
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,416.995
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,571.174
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,436.841
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,438.135
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,502.716
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,577.391
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,468.497
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,298.507
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,495.172
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,434.959
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1851.77,-1851.77
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1546.983,-1546.983
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,149.519
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,137.941
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,308.877
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5126.566,-5126.566
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,504.46
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,415.856
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,555.112
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,425.916
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,412.509
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,485.39
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,512.976
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,419.449
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,333.367
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,498.653
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,430.312
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,97.225
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2658.872,-2658.872
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,232.654
中俄东线,长春站,111.462,33.648,需求,定需求,,205.652
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,619.313
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,640.76
中俄东线,永清站,87.5129,33.5107,联络,平衡,,124.348
中俄东线,南通站,116.3639,44.8043,联络,平衡,,107.624
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,530.338
中俄东线,海安站,121.3887,25.8904,需求,定需求,,507.407
中俄东线,上海站,110.3595,30.5042,需求,定需求,,403.58
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1511.93,-1511.93
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,118.895
冀宁线,安平站,123.4418,23.1806,联络,平衡,,148.777
冀宁线,南京站,123.0787,32.2038,需求,定需求,,430.201
冀宁线,南通站,116.3639,44.8043,联络,平衡,,131.1
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,523.611
冀宁线,海安站,121.3887,25.8904,需求,定需求,,519.544
川气东送,普光首站,76.2304,44.7768,气源,定流量,2243.889,-2243.889
川气东送,达州站,115.939,36.7411,需求,定需求,,308.305
川气东送,武汉站,118.2621,36.999,需求,定需求,,506.15
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,492.866
川气东送,甪直站,120.4511,32.3072,联络,平衡,,100.007
川气东送,上海站,110.3595,30.5042,需求,定需求,,407.337
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,605.399
陕京二线,榆林站,82.8513,42.114,气源,定流量,1830.529,-1830.529
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1440.864,-1440.864
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,143.284
陕京二线,永清站,87.5129,33.5107,联络,平衡,,114.951
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,655.196
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,337.252
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,347.606
