管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5253.375,-5253.375
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,539.531
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,400.874
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,519.946
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,444.014
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,401.642
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,469.044
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,561.235
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1455.85,-1455.85
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,100.321
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,134.168
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5207.499,-5207.499
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,521.058
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,409.895
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,569.342
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,445.719
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,418.105
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,510.435
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,532.234
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,436.508
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,316.853
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,470.72
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,407.701
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1961.544,-1961.544
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1472.218,-1472.218
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,124.363
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,133.348
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,343.864
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5116.824,-5116.824
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,497.793
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,399.48
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,562.562
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,433.924
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,412.783
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,459.646
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,538.754
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,420.786
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,296.802
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,514.109
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,410.434
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,101.935
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2515.347,-2515.347
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,216.742
中俄东线,长春站,111.462,33.648,需求,定需求,,190.374
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,580.878
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,630.299
中俄东线,永清站,87.5129,33.5107,联络,平衡,,140.904
中俄东线,南通站,116.3639,44.8043,联络,平衡,,148.422
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,573.527
中俄东线,海安站,121.3887,25.8904,需求,定需求,,514.78
中俄东线,上海站,110.3595,30.5042,需求,定需求,,429.627
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1497.469,-1497.469
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,108.878
冀宁线,安平站,123.4418,23.1806,联络,平衡,,134.214
冀宁线,南京站,123.0787,32.2038,需求,定需求,,467.559
冀宁线,南通站,116.3639,44.8043,联络,平衡,,140.71
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,533.675
冀宁线,海安站,121.3887,25.8904,需求,定需求,,516.39
川气东送,普光首站,76.2304,44.7768,气源,定流量,2317.777,-2317.777
川气东送,达州站,115.939,36.7411,需求,定需求,,330.227
川气东送,武汉站,118.2621,36.999,需求,定需求,,499.407
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,452.307
川气东送,甪直站,120.4511,32.3072,联络,平衡,,114.931
川气东送,上海站,110.3595,30.5042,需求,定需求,,411.539
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,618.142
陕京二线,榆林站,82.8513,42.114,气源,定流量,1827.054,-1827.054
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1487.323,-1487.323
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,121.686
陕京二线,永清站,87.5129,33.5107,联络,平衡,,91.68
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,646.498
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,307.914
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,371.318
