管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5182.341,-5182.341
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,528.864
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,435.746
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,525.175
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,422.274
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,406.895
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,462.538
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,555.646
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1537.869,-1537.869
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,105.803
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,113.538
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5266.18,-5266.18
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,544.132
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,422.49
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,539.806
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,420.617
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,415.726
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,490.162
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,533.251
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,452.679
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,306.881
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,518.716
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,418.483
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1868.054,-1868.054
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1491.056,-1491.056
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,99.041
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,98.652
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,326.521
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5391.417,-5391.417
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,546.487
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,441.261
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,530.631
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,418.206
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,408.332
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,482.742
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,558.98
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,455.072
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,325.02
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,523.14
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,434.889
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,90.964
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2637.916,-2637.916
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,235.224
中俄东线,长春站,111.462,33.648,需求,定需求,,197.25
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,572.111
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,649.391
中俄东线,永清站,87.5129,33.5107,联络,平衡,,145.28
中俄东线,南通站,116.3639,44.8043,联络,平衡,,127.226
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,546.808
中俄东线,海安站,121.3887,25.8904,需求,定需求,,472.294
中俄东线,上海站,110.3595,30.5042,需求,定需求,,438.318
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1523.29,-1523.29
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,148.139
冀宁线,安平站,123.4418,23.1806,联络,平衡,,91.401
冀宁线,南京站,123.0787,32.2038,需求,定需求,,458.479
冀宁线,南通站,116.3639,44.8043,联络,平衡,,94.189
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,550.25
冀宁线,海安站,121.3887,25.8904,需求,定需求,,530.583
川气东送,普光首站,76.2304,44.7768,气源,定流量,2301.227,-2301.227
川气东送,达州站,115.939,36.7411,需求,定需求,,335.414
川气东送,武汉站,118.2621,36.999,需求,定需求,,467.629
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,498.482
川气东送,甪直站,120.4511,32.3072,联络,平衡,,129.313
川气东送,上海站,110.3595,30.5042,需求,定需求,,415.989
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,618.33
陕京二线,榆林站,82.8513,42.114,气源,定流量,1859.309,-1859.309
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1493.131,-1493.131
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,111.368
陕京二线,永清站,87.5129,33.5107,联络,平衡,,107.418
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,602.11
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,331.297
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,352.069
