管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5307.284,-5307.284
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,512.087
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,408.267
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,526.953
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,434.612
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,411.715
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,493.598
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,570.204
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1511.362,-1511.362
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,119.686
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,91.164
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5144.448,-5144.448
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,498.08
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,442.523
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,530.272
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,412.116
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,414.412
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,493.785
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,560.626
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,437.131
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,316.31
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,488.849
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,393.896
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1944.163,-1944.163
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1451.294,-1451.294
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,99.685
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,140.938
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,341.885
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5310.171,-5310.171
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,506.094
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,403.784
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,569.879
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,426.738
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,407.906
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,499.715
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,568.207
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,437.895
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,299.915
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,474.449
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,403.294
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,145.959
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2591.088,-2591.088
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,233.558
中俄东线,长春站,111.462,33.648,需求,定需求,,200.316
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,600.138
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,606.448
中俄东线,永清站,87.5129,33.5107,联络,平衡,,93.758
中俄东线,南通站,116.3639,44.8043,联络,平衡,,137.065
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,529.992
中俄东线,海安站,121.3887,25.8904,需求,定需求,,487.399
中俄东线,上海站,110.3595,30.5042,需求,定需求,,397.585
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1554.762,-1554.762
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,128.708
冀宁线,安平站,123.4418,23.1806,联络,平衡,,122.082
冀宁线,南京站,123.0787,32.2038,需求,定需求,,473.421
冀宁线,南通站,116.3639,44.8043,联络,平衡,,126.502
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,524.882
冀宁线,海安站,121.3887,25.8904,需求,定需求,,506.127
川气东送,普光首站,76.2304,44.7768,气源,定流量,2374.911,-2374.911
川气东送,达州站,115.939,36.7411,需求,定需求,,334.246
川气东送,武汉站,118.2621,36.999,需求,定需求,,489.992
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,464.591
川气东送,甪直站,120.4511,32.3072,联络,平衡,,138.268
川气东送,上海站,110.3595,30.5042,需求,定需求,,427.258
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,598.914
陕京二线,榆林站,82.8513,42.114,气源,定流量,1860.782,-1860.782
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1477.788,-1477.788
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,111.451
陕京二线,永清站,87.5129,33.5107,联络,平衡,,112.402
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,643.024
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,314.941
陕京二线,阳曲压气站,116.3967,37.9201,需求,定需求,,382.53
