管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5398.119,-5398.119
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,537.193
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,436.622
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,561.347
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,402.98
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,401.214
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,458.618
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,558.463
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1530.009,-1530.009
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,110.06
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,139.283
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5121.559,-5121.559
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,509.504
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,412.729
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,523.11
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,411.183
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,432.699
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,484.826
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,546.203
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,448.414
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,329.23
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,496.461
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,431.981
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1880.759,-1880.759
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1554.328,-1554.328
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,131.565
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,106.051
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,341.059
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5359.029,-5359.029
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,514.848
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,432.006
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,543.818
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,403.14
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,438.582
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,502.434
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,560.711
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,444.926
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,329.052
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,508.701
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,418.876
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,133.015
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2615.956,-2615.956
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,234.241
中俄东线,长春站,111.462,33.648,需求,定需求,,206.771
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,593.42
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,598.63
中俄东线,永清站,87.5129,33.5107,联络,平衡,,102.812
中俄东线,南通站,116.3639,44.8043,联络,平衡,,138.637
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,563.467
中俄东线,海安站,121.3887,25.8904,需求,定需求,,478.128
中俄东线,上海站,110.3595,30.5042,需求,定需求,,434.223
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1446.504,-1446.504
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,113.716
冀宁线,安平站,123.4418,23.1806,联络,平衡,,117.822
冀宁线,南京站,123.0787,32.2038,需求,定需求,,466.176
冀宁线,南通站,116.3639,44.8043,联络,平衡,,142.141
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,542.382
冀宁线,海安站,121.3887,25.8904,需求,定需求,,530.442
川气东送,普光首站,76.2304,44.7768,气源,定流量,2245.94,-2245.94
川气东送,达州站,115.939,36.7411,需求,定需求,,314.614
川气东送,武汉站,118.2621,36.999,需求,定需求,,457.334
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,469.95
川气东送,甪直站,120.4511,32.3072,联络,平衡,,148.718
川气东送,上海站,110.3595,30.5042,需求,定需求,,424.563
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,650.313
陕京二线,榆林站,82.8513,42.114,气源,定流量,1883.184,-1883.184
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1473.538,-1473.538
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,146.723
陕京二线,永清站,87.5129,33.5107,联络,平衡,,144.529
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,599.77
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,311.081
