管道划分,站名,lon,lat,类型,控制类型,输入流量,计算流量
西气东输一线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5109.221,-5109.221
西气东输一线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,548.573
西气东输一线,昌吉站,86.3838,41.5389,需求,定需求,,401.351
西气东输一线,乌苏站,98.4254,31.0004,需求,定需求,,556.906
西气东输一线,精河站,100.9287,29.3551,需求,定需求,,445.466
西气东输一线,中卫站,116.9033,38.7701,需求,定需求,,427.172
西气东输一线,古浪站,102.2127,29.1211,需求,定需求,,466.317
西气东输一线,永昌站,110.258,38.5576,需求,定需求,,551.231
西气东输一线,靖边站,125.3362,28.1973,气源,定流量,1528.976,-1528.976
西气东输一线,石家庄站,81.1041,29.2776,联络,平衡,,119.94
西气东输一线,永清站,87.5129,33.5107,联络,平衡,,136.67
西气东输二线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5319.138,-5319.138
西气东输二线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,519.624
西气东输二线,昌吉站,86.3838,41.5389,需求,定需求,,443.539
西气东输二线,乌苏站,98.4254,31.0004,需求,定需求,,577.474
西气东输二线,精河站,100.9287,29.3551,需求,定需求,,438.804
西气东输二线,中卫站,116.9033,38.7701,需求,定需求,,402.607
西气东输二线,古浪站,102.2127,29.1211,需求,定需求,,462.138
西气东输二线,永昌站,110.258,38.5576,需求,定需求,,538.872
西气东输二线,临潼站,120.4907,39.0279,需求,定需求,,470.974
西气东输二线,高陵站,97.1688,27.7344,需求,定需求,,332.292
西气东输二线,华阴站,88.1492,42.2953,需求,定需求,,484.686
西气东输二线,潼关站,85.8001,40.3774,需求,定需求,,401.513
西气东输二线,榆林站,82.8513,42.114,气源,定流量,1847.353,-1847.353
西气东输二线,靖边站,125.3362,28.1973,气源,定流量,1559.974,-1559.974
西气东输二线,石家庄站,81.1041,29.2776,联络,平衡,,113.761
西气东输二线,永清站,87.5129,33.5107,联络,平衡,,114.043
西气东输二线,通州南站,116.3593,33.2408,需求,定需求,,330.522
西气东输三线,霍尔果斯首站,76.1556,27.0482,气源,定流量,5164.264,-5164.264
西气东输三线,乌鲁木齐站,114.3902,34.4775,需求,定需求,,509.84
西气东输三线,昌吉站,86.3838,41.5389,需求,定需求,,413.817
西气东输三线,乌苏站,98.4254,31.0004,需求,定需求,,549.952
西气东输三线,精河站,100.9287,29.3551,需求,定需求,,404.004
西气东输三线,中卫站,116.9033,38.7701,需求,定需求,,421.56
西气东输三线,古浪站,102.2127,29.1211,需求,定需求,,494.023
西气东输三线,永昌站,110.258,38.5576,需求,定需求,,518.994
西气东输三线,临潼站,120.4907,39.0279,需求,定需求,,460.596
西气东输三线,高陵站,97.1688,27.7344,需求,定需求,,320.627
西气东输三线,华阴站,88.1492,42.2953,需求,定需求,,518.443
西气东输三线,潼关站,85.8001,40.3774,需求,定需求,,426.174
西气东输三线,安平站,123.4418,23.1806,联络,平衡,,109.264
中俄东线,黑河首站,99.1922,29.3726,气源,定流量,2576.241,-2576.241
中俄东线,哈尔滨站,103.9606,26.1844,需求,定需求,,230.088
中俄东线,长春站,111.462,33.648,需求,定需求,,195.816
中俄东线,沈阳站,124.4146,40.9203,需求,定需求,,554.684
中俄东线,宝坻站,120.3107,38.039,需求,定需求,,594.623
中俄东线,永清站,87.5129,33.5107,联络,平衡,,100.928
中俄东线,南通站,116.3639,44.8043,联络,平衡,,94.56
中俄东线,如皋站,106.3082,40.8266,需求,定需求,,537.531
中俄东线,海安站,121.3887,25.8904,需求,定需求,,530.882
中俄东线,上海站,110.3595,30.5042,需求,定需求,,440.16
冀宁线,靖边站,125.3362,28.1973,气源,定流量,1477.046,-1477.046
冀宁线,石家庄站,81.1041,29.2776,联络,平衡,,147.192
冀宁线,安平站,123.4418,23.1806,联络,平衡,,125.535
冀宁线,南京站,123.0787,32.2038,需求,定需求,,440.496
冀宁线,南通站,116.3639,44.8043,联络,平衡,,146.352
冀宁线,如皋站,106.3082,40.8266,需求,定需求,,516.88
冀宁线,海安站,121.3887,25.8904,需求,定需求,,478.665
川气东送,普光首站,76.2304,44.7768,气源,定流量,2354.603,-2354.603
川气东送,达州站,115.939,36.7411,需求,定需求,,314.615
川气东送,武汉站,118.2621,36.999,需求,定需求,,491.703
川气东送,湘潭站,120.4945,25.4056,需求,定需求,,453.378
川气东送,甪直站,120.4511,32.3072,联络,平衡,,105.927
川气东送,上海站,110.3595,30.5042,需求,定需求,,424.388
川气东送,上海白鹤末站,113.6944,31.8782,需求,定需求,,647.307
陕京二线,榆林站,82.8513,42.114,气源,定流量,1954.197,-1954.197
陕京二线,靖边站,125.3362,28.1973,气源,定流量,1559.515,-1559.515
陕京二线,石家庄站,81.1041,29.2776,联络,平衡,,105.534
陕京二线,永清站,87.5129,33.5107,联络,平衡,,111.665
陕京二线,宝坻站,120.3107,38.039,需求,定需求,,643.99
陕京二线,通州南站,116.3593,33.2408,需求,定需求,,325.559
