TIME,B_001_v000,B_001_v001,B_015_v000,B_015_v001,B_120_v000,B_120_v001,B_198_v000,B_198_v001,B_233_v000,B_233_v001,B_273_v000,B_273_v001,B_286_v000,B_286_v001,B_302_v000,B_302_v001,B_317_v000,B_317_v001,B_329_v000,B_329_v001,B_341_v000,B_341_v001
2025-01-01 00:01:00,0.80409294,0.90569913,0.8072564,0.89477736,0.796276,0.8977666,0.79926395,0.9007825,0.8023362,0.9039379,0.791599,0.8933293,0.7951366,0.8970264,0.79900205,0.9010641,0.8032108,0.8914379,0.79373884,0.896105,0.79852575,0.90098906
2025-01-01 00:02:00,0.8040835,0.90568835,0.8072445,0.8947647,0.7962629,0.89775354,0.79925126,0.90077055,0.8023253,0.90392834,0.7915911,0.89332336,0.7951327,0.89702475,0.7990026,0.9010668,0.8032156,0.89144474,0.7937475,0.8961152,0.79853725,0.90100145
2025-01-01 00:03:00,0.8040741,0.9056775,0.80723256,0.894752,0.79624987,0.8977405,0.79923856,0.9007586,0.80231446,0.9039189,0.79158336,0.89331746,0.7951288,0.8970231,0.7990031,0.9010696,0.8032205,0.8914516,0.7937561,0.8961254,0.7985487,0.9010138
2025-01-01 00:04:00,0.8040646,0.9056666,0.8072206,0.89473933,0.79623675,0.89772743,0.7992259,0.9007467,0.8023036,0.9039095,0.7915756,0.8933116,0.79512507,0.8970215,0.7990038,0.90107244,0.8032255,0.8914586,0.7937649,0.8961356,0.79856014,0.9010262
2025-01-01 00:05:00,0.80405504,0.9056557,0.8072086,0.89472663,0.7962237,0.8977143,0.79921323,0.9007348,0.8022928,0.9039001,0.7915679,0.89330584,0.7951214,0.8970199,0.79900444,0.9010753,0.8032305,0.89146554,0.79377365,0.89614594,0.7985717,0.9010386
2025-01-01 00:06:00,0.8040455,0.9056447,0.80719656,0.8947139,0.79621065,0.89770126,0.7992006,0.9007229,0.80228204,0.9038907,0.79156023,0.89330006,0.7951177,0.89701843,0.7990052,0.9010783,0.8032356,0.8914726,0.7937825,0.89615625,0.7985832,0.90105104
2025-01-01 00:07:00,0.8040359,0.90563375,0.8071845,0.8947012,0.79619753,0.89768827,0.79918796,0.90071106,0.80227137,0.90388143,0.79155266,0.8932944,0.7951141,0.89701706,0.799006,0.90108126,0.8032407,0.8914797,0.7937913,0.89616656,0.7985948,0.90106344
2025-01-01 00:08:00,0.80402625,0.9056227,0.8071725,0.8946884,0.7961845,0.8976752,0.7991754,0.90069926,0.80226064,0.9038722,0.7915451,0.89328873,0.7951105,0.8970157,0.7990069,0.9010843,0.80324584,0.89148676,0.7938002,0.896177,0.7986064,0.9010759
2025-01-01 00:09:00,0.80401653,0.9056117,0.8071604,0.8946756,0.79617137,0.89766216,0.79916275,0.90068746,0.80224997,0.90386295,0.7915376,0.8932832,0.795107,0.8970144,0.7990078,0.90108746,0.8032511,0.891494,0.7938091,0.8961874,0.798618,0.9010884
2025-01-01 00:10:00,0.8040068,0.9056006,0.80714834,0.89466286,0.7961583,0.89764917,0.79915017,0.9006757,0.80223936,0.9038538,0.79153013,0.89327765,0.7951036,0.8970131,0.7990087,0.9010906,0.80325633,0.8915012,0.7938181,0.89619786,0.79862964,0.9011009
2025-01-01 00:11:00,0.80399704,0.9055895,0.8071362,0.8946501,0.7961452,0.8976362,0.79913765,0.9006639,0.80222875,0.90384465,0.7915227,0.89327216,0.7951002,0.89701194,0.79900974,0.90109384,0.8032617,0.89150846,0.7938271,0.89620835,0.7986413,0.9011134
2025-01-01 00:12:00,0.80398726,0.9055784,0.807124,0.8946373,0.7961321,0.8976231,0.7991251,0.9006522,0.8022182,0.90383554,0.79151535,0.89326674,0.7950969,0.89701074,0.7990109,0.9010971,0.80326706,0.8915158,0.7938362,0.8962189,0.798653,0.90112597
2025-01-01 00:13:00,0.80397743,0.9055672,0.80711186,0.8946245,0.79611903,0.8976102,0.79911256,0.90064055,0.80220765,0.90382653,0.791508,0.8932614,0.7950936,0.8970097,0.799012,0.90110046,0.8032725,0.8915232,0.79384524,0.89622945,0.79866475,0.9011385
2025-01-01 00:14:00,0.80396754,0.905556,0.8070997,0.89461166,0.7961059,0.8975972,0.79910004,0.90062886,0.80219716,0.9038175,0.79150075,0.893256,0.7950904,0.89700866,0.7990132,0.90110385,0.80327797,0.8915306,0.7938544,0.89624006,0.7986765,0.90115106
2025-01-01 00:15:00,0.80395764,0.9055448,0.8070875,0.8945988,0.7960928,0.8975842,0.7990875,0.9006172,0.8021867,0.90380853,0.79149354,0.89325076,0.7950872,0.8970077,0.79901445,0.9011073,0.8032835,0.8915381,0.7938636,0.8962507,0.79868823,0.90116364
2025-01-01 00:16:00,0.8039477,0.90553355,0.80707526,0.8945859,0.7960797,0.8975712,0.79907507,0.90060556,0.8021763,0.9037996,0.7914863,0.8932455,0.7950841,0.8970068,0.79901576,0.90111077,0.8032891,0.8915456,0.79387283,0.8962614,0.7987001,0.9011762
2025-01-01 00:17:00,0.8039377,0.9055223,0.80706304,0.8945731,0.79606664,0.8975582,0.7990626,0.900594,0.8021659,0.9037907,0.79147923,0.8932404,0.795081,0.8970059,0.79901713,0.90111434,0.8032948,0.89155316,0.7938821,0.89627206,0.7987119,0.90118885
2025-01-01 00:18:00,0.80392766,0.90551096,0.80705076,0.8945602,0.7960535,0.8975453,0.79905015,0.90058243,0.80215555,0.90378183,0.79147214,0.89323527,0.79507804,0.89700514,0.79901856,0.901118,0.80330044,0.89156073,0.7938914,0.8962828,0.79872376,0.9012015
2025-01-01 00:19:00,0.8039176,0.90549964,0.8070384,0.89454734,0.7960404,0.8975323,0.7990377,0.90057087,0.8021452,0.903773,0.7914651,0.8932302,0.7950751,0.89700437,0.79902005,0.9011216,0.80330616,0.8915684,0.7939007,0.8962936,0.7987356,0.9012141
2025-01-01 00:20:00,0.8039075,0.90548825,0.80702615,0.8945344,0.7960273,0.8975194,0.79902536,0.90055937,0.80213493,0.9037643,0.79145813,0.8932252,0.7950722,0.8970037,0.7990216,0.9011253,0.803312,0.8915761,0.7939101,0.89630437,0.79874754,0.90122676
2025-01-01 00:21:00,0.8038974,0.90547687,0.8070138,0.89452153,0.7960142,0.8975064,0.79901296,0.90054786,0.8021247,0.90375555,0.79145116,0.89322025,0.7950694,0.89700305,0.7990232,0.9011291,0.80331784,0.89158386,0.79391956,0.8963152,0.7987594,0.90123945
2025-01-01 00:22:00,0.8038872,0.9054654,0.8070015,0.8945086,0.7960011,0.8974935,0.79900056,0.9005364,0.8021145,0.9037469,0.79144424,0.8932153,0.7950666,0.8970025,0.7990249,0.90113294,0.80332375,0.89159167,0.793929,0.89632607,0.7987714,0.90125215
2025-01-01 00:23:00,0.803877,0.905454,0.8069891,0.89449567,0.79598796,0.8974806,0.7989882,0.900525,0.8021043,0.90373826,0.79143745,0.8932105,0.7950639,0.897002,0.79902655,0.9011368,0.8033297,0.8915995,0.7939385,0.896337,0.79878336,0.90126485
2025-01-01 00:24:00,0.80386674,0.90544254,0.80697674,0.89448273,0.79597485,0.8974677,0.7989759,0.9005136,0.80209416,0.9037297,0.79143065,0.8932057,0.79506123,0.89700156,0.79902834,0.90114075,0.80333567,0.89160734,0.79394805,0.8963479,0.79879534,0.90127754
2025-01-01 00:25:00,0.8038565,0.90543103,0.80696434,0.8944698,0.79596174,0.8974548,0.79896355,0.9005022,0.802084,0.9037211,0.7914239,0.89320093,0.7950586,0.89700115,0.7990302,0.9011448,0.80334175,0.8916153,0.79395765,0.89635885,0.7988074,0.9012903
2025-01-01 00:26:00,0.8038461,0.90541947,0.8069519,0.89445686,0.7959486,0.8974419,0.79895127,0.9004909,0.80207396,0.90371263,0.7914172,0.8931962,0.79505605,0.8970008,0.79903203,0.90114886,0.8033478,0.89162326,0.79396725,0.8963698,0.7988194,0.90130305
2025-01-01 00:27:00,0.8038358,0.9054079,0.8069395,0.8944439,0.7959356,0.89742905,0.79893905,0.90047956,0.80206394,0.90370417,0.79141057,0.89319164,0.7950536,0.89700055,0.799034,0.9011529,0.80335397,0.8916313,0.7939769,0.89638084,0.79883146,0.90131575
2025-01-01 00:28:00,0.80382544,0.90539634,0.806927,0.89443094,0.79592246,0.8974162,0.7989268,0.9004683,0.8020539,0.90369576,0.79140395,0.89318705,0.79505116,0.8970003,0.79903597,0.9011571,0.80336016,0.89163935,0.7939866,0.89639187,0.79884356,0.90132856
2025-01-01 00:29:00,0.803815,0.9053847,0.8069145,0.89441794,0.79590935,0.8974033,0.79891455,0.900457,0.802044,0.90368736,0.7913974,0.8931825,0.7950488,0.89700013,0.79903805,0.9011613,0.8033664,0.89164746,0.79399633,0.89640296,0.79885566,0.9013413
2025-01-01 00:30:00,0.8066135,0.89175826,0.8097552,0.8906574,0.79917777,0.884052,0.80261165,0.89704925,0.8064393,0.89142,0.79563886,0.8900843,0.80000013,0.8845114,0.80379915,0.8981907,0.8083845,0.8801375,0.7995395,0.8938909,0.80431944,0.889031
2025-01-01 00:31:00,0.8084288,0.88289696,0.8115973,0.8882085,0.8012976,0.87536913,0.8050105,0.8948303,0.80929273,0.88344324,0.79839355,0.888069,0.80321777,0.87639374,0.80689466,0.8962614,0.8116484,0.87265897,0.803146,0.892262,0.8078752,0.8810338
2025-01-01 00:32:00,0.80960506,0.877133,0.8127902,0.88661206,0.80267096,0.86972076,0.8065655,0.89338404,0.8111441,0.87825555,0.8001819,0.88675755,0.8053084,0.87111735,0.8089076,0.89500886,0.8137723,0.86780083,0.8054937,0.89120704,0.81019074,0.87584007
2025-01-01 00:33:00,0.8103659,0.8733823,0.8135612,0.8855699,0.80355906,0.8660448,0.80757207,0.89244014,0.812344,0.87488073,0.8013422,0.88590366,0.8066667,0.8676877,0.81021684,0.8941964,0.8151551,0.86464596,0.8070232,0.8905253,0.8117001,0.87246865
2025-01-01 00:34:00,0.81085676,0.8709402,0.814058,0.88488793,0.80413175,0.863651,0.8082221,0.89182276,0.81312066,0.87268424,0.80209416,0.8853471,0.8075488,0.86545855,0.8110687,0.89366984,0.8160562,0.86259824,0.80802083,0.8900861,0.8126855,0.8702817
