TIME,R_001_v000,R_004_v000,R_005_v000,R_006_v000,R_007_v000,R_008_v000,R_010_v000
2025-01-01 00:01:00,0.90333366,0.89113945,0.8930278,0.8950017,0.8970621,0.8992073,0.9014329
2025-01-01 00:02:00,0.90332764,0.8911355,0.893026,0.8950022,0.8970648,0.8992121,0.9014397
2025-01-01 00:03:00,0.90332174,0.89113164,0.8930243,0.8950027,0.89706755,0.89921695,0.9014466
2025-01-01 00:04:00,0.90331584,0.8911278,0.89302266,0.8950033,0.89707035,0.8992219,0.9014535
2025-01-01 00:05:00,0.90331,0.89112407,0.8930211,0.895004,0.8970732,0.89922684,0.9014604
2025-01-01 00:06:00,0.9033042,0.8911204,0.89301956,0.8950047,0.89707613,0.8992319,0.90146744
2025-01-01 00:07:00,0.90329856,0.89111674,0.8930181,0.8950054,0.89707905,0.899237,0.9014745
2025-01-01 00:08:00,0.90329283,0.89111316,0.8930167,0.89500624,0.8970821,0.8992421,0.90148157
2025-01-01 00:09:00,0.90328723,0.8911096,0.8930154,0.89500713,0.89708513,0.8992473,0.9014887
2025-01-01 00:10:00,0.9032816,0.8911061,0.8930141,0.895008,0.8970883,0.89925253,0.90149593
2025-01-01 00:11:00,0.90327615,0.8911027,0.8930128,0.89500904,0.89709145,0.89925784,0.90150315
2025-01-01 00:12:00,0.90327066,0.89109933,0.8930116,0.89501005,0.8970947,0.89926314,0.9015105
2025-01-01 00:13:00,0.90326524,0.891096,0.8930105,0.8950112,0.897098,0.89926857,0.9015178
2025-01-01 00:14:00,0.9032599,0.8910927,0.8930095,0.8950123,0.89710134,0.899274,0.9015252
2025-01-01 00:15:00,0.90325457,0.8910895,0.8930085,0.8950136,0.89710474,0.8992795,0.9015326
2025-01-01 00:16:00,0.9032493,0.8910864,0.8930075,0.8950148,0.8971082,0.8992851,0.9015401
2025-01-01 00:17:00,0.90324414,0.8910833,0.8930066,0.89501613,0.8971117,0.8992907,0.9015476
2025-01-01 00:18:00,0.90323895,0.89108026,0.8930057,0.89501756,0.8971153,0.8992963,0.9015552
2025-01-01 00:19:00,0.9032339,0.8910773,0.89300495,0.895019,0.8971189,0.899302,0.9015628
2025-01-01 00:20:00,0.9032288,0.89107436,0.89300424,0.8950205,0.8971226,0.8993078,0.9015705
2025-01-01 00:21:00,0.9032238,0.89107144,0.8930036,0.89502203,0.8971264,0.89931357,0.9015782
2025-01-01 00:22:00,0.90321887,0.89106864,0.893003,0.89502364,0.89713013,0.89931947,0.90158594
2025-01-01 00:23:00,0.903214,0.8910659,0.89300245,0.8950253,0.897134,0.8993254,0.90159374
2025-01-01 00:24:00,0.90320915,0.89106315,0.8930019,0.89502704,0.8971379,0.89933133,0.9016016
2025-01-01 00:25:00,0.9032044,0.89106053,0.8930015,0.8950288,0.8971419,0.89933735,0.90160954
2025-01-01 00:26:00,0.9031996,0.8910579,0.8930011,0.8950307,0.89714587,0.8993434,0.90161747
2025-01-01 00:27:00,0.90319496,0.8910554,0.8930008,0.8950326,0.8971499,0.8993495,0.90162545
2025-01-01 00:28:00,0.9031904,0.8910529,0.89300054,0.89503455,0.89715403,0.89935565,0.9016335
2025-01-01 00:29:00,0.9031858,0.8910505,0.8930003,0.8950366,0.8971582,0.8993619,0.90164155
2025-01-01 00:30:00,0.90707386,0.8947465,0.89484096,0.8967471,0.89987123,0.90154785,0.90342706
2025-01-01 00:31:00,0.90959954,0.8971481,0.89603734,0.8978598,0.90163624,0.90297097,0.90459055
2025-01-01 00:32:00,0.91123974,0.89870834,0.896815,0.8985838,0.90278506,0.90389824,0.90534973
2025-01-01 00:33:00,0.9123044,0.8997218,0.89732057,0.8990553,0.90353334,0.9045032,0.9058462
2025-01-01 00:34:00,0.912995,0.9003799,0.8976492,0.89936256,0.9040214,0.9048988,0.90617174
2025-01-01 00:35:00,0.9134424,0.9008069,0.8978629,0.8995632,0.9043402,0.9051582,0.9063863
2025-01-01 00:36:00,0.9137318,0.9010838,0.8980019,0.89969444,0.90454906,0.90532917,0.9065288
2025-01-01 00:37:00,0.91391844,0.9012632,0.89809245,0.8997807,0.90468645,0.90544266,0.9066243
2025-01-01 00:38:00,0.9140384,0.90137905,0.8981514,0.8998376,0.9047774,0.9055188,0.9066894
2025-01-01 00:39:00,0.914115,0.9014538,0.8981899,0.8998756,0.9048382,0.9055706,0.9067348
2025-01-01 00:40:00,0.9141635,0.9015018,0.8982151,0.8999012,0.90487945,0.9056067,0.90676725
2025-01-01 00:41:00,0.91419363,0.9015324,0.8982317,0.89991885,0.904908,0.90563256,0.90679145
2025-01-01 00:42:00,0.91421187,0.9015517,0.8982427,0.8999313,0.90492827,0.90565187,0.9068102
2025-01-01 00:43:00,0.9142224,0.90156376,0.8982501,0.89994043,0.9049432,0.90566677,0.9068255
2025-01-01 00:44:00,0.914228,0.9015711,0.89825517,0.8999474,0.9049547,0.905679,0.9068385
2025-01-01 00:45:00,0.9142304,0.9015753,0.89825875,0.89995295,0.9049639,0.9056894,0.9068501
2025-01-01 00:46:00,0.91423076,0.90157765,0.89826137,0.89995766,0.9049718,0.90569866,0.9068607
2025-01-01 00:47:00,0.91422975,0.90157866,0.8982634,0.8999618,0.9049787,0.9057072,0.9068707
2025-01-01 00:48:00,0.9142279,0.90157896,0.89826506,0.8999656,0.9049851,0.9057153,0.90688044
2025-01-01 00:49:00,0.91422546,0.90157866,0.89826655,0.8999692,0.9049911,0.9057231,0.90688986
2025-01-01 00:50:00,0.9142228,0.90157807,0.89826787,0.8999727,0.9049969,0.9057308,0.90689915
2025-01-01 00:51:00,0.91421986,0.9015773,0.8982691,0.8999762,0.9050025,0.90573835,0.9069084
2025-01-01 00:52:00,0.9142169,0.9015765,0.89827037,0.8999796,0.9050081,0.90574586,0.9069176
2025-01-01 00:53:00,0.9142138,0.9015756,0.8982716,0.899983,0.9050137,0.9057534,0.9069268
2025-01-01 00:54:00,0.91421074,0.90157473,0.89827293,0.8999865,0.9050193,0.9057609,0.906936
2025-01-01 00:55:00,0.91420764,0.90157384,0.89827424,0.89999,0.9050249,0.9057684,0.9069452
2025-01-01 00:56:00,0.9142046,0.901573,0.89827555,0.89999354,0.90503055,0.90577596,0.9069545
2025-01-01 00:57:00,0.9142016,0.9015722,0.898277,0.8999971,0.9050362,0.90578353,0.90696377
2025-01-01 00:58:00,0.91419864,0.90157145,0.8982784,0.90000075,0.90504193,0.90579116,0.90697306
2025-01-01 00:59:00,0.9141957,0.90157074,0.8982799,0.90000445,0.9050477,0.90579885,0.9069825
