TIME,R_001_v000
2025-01-01 00:01:00,0.9933416
2025-01-01 00:02:00,0.99359846
2025-01-01 00:03:00,0.9938563
2025-01-01 00:04:00,0.99411553
2025-01-01 00:05:00,0.9943759
2025-01-01 00:06:00,0.9946374
2025-01-01 00:07:00,0.99490035
2025-01-01 00:08:00,0.9951646
2025-01-01 00:09:00,0.9954301
2025-01-01 00:10:00,0.9956969
2025-01-01 00:11:00,0.9959651
2025-01-01 00:12:00,0.9962348
2025-01-01 00:13:00,0.99650574
2025-01-01 00:14:00,0.99677825
2025-01-01 00:15:00,0.9970522
2025-01-01 00:16:00,0.99732757
2025-01-01 00:17:00,0.99760455
2025-01-01 00:18:00,0.997883
2025-01-01 00:19:00,0.998163
2025-01-01 00:20:00,0.9984446
2025-01-01 00:21:00,0.99872786
2025-01-01 00:22:00,0.9990127
2025-01-01 00:23:00,0.99929905
2025-01-01 00:24:00,0.99958724
2025-01-01 00:25:00,0.99987704
2025-01-01 00:26:00,1.0001684
2025-01-01 00:27:00,1.0004617
2025-01-01 00:28:00,1.0007567
2025-01-01 00:29:00,1.0010533
2025-01-01 00:30:00,1.001352
2025-01-01 00:31:00,1.0016522
2025-01-01 00:32:00,1.0019543
2025-01-01 00:33:00,1.0022583
2025-01-01 00:34:00,1.0025641
2025-01-01 00:35:00,1.0028718
2025-01-01 00:36:00,1.0031812
2025-01-01 00:37:00,1.0034927
2025-01-01 00:38:00,1.0038061
2025-01-01 00:39:00,1.0041213
2025-01-01 00:40:00,1.0044386
2025-01-01 00:41:00,1.0047579
2025-01-01 00:42:00,1.005079
2025-01-01 00:43:00,1.0054022
2025-01-01 00:44:00,1.0057274
2025-01-01 00:45:00,1.0060546
2025-01-01 00:46:00,1.0063838
2025-01-01 00:47:00,1.006715
2025-01-01 00:48:00,1.0070484
2025-01-01 00:49:00,1.0073837
2025-01-01 00:50:00,1.0077212
2025-01-01 00:51:00,1.0080608
2025-01-01 00:52:00,1.0084023
2025-01-01 00:53:00,1.0087461
2025-01-01 00:54:00,1.0090921
2025-01-01 00:55:00,1.0094401
2025-01-01 00:56:00,1.0097902
2025-01-01 00:57:00,1.0101426
2025-01-01 00:58:00,1.0104971
2025-01-01 00:59:00,1.0108535
